itemid,name
51062,"CHLORIDE, STOOL (STOOL, CHEMISTRY)"
51063,"OSMOLALITY, STOOL (STOOL, CHEMISTRY)"
51064,"POTASSIUM, STOOL (STOOL, CHEMISTRY)"
51065,"SODIUM, STOOL (STOOL, CHEMISTRY)"
51066,"24 HR CALCIUM (URINE, CHEMISTRY)"
51067,"24 HR CREATININE (URINE, CHEMISTRY)"
51068,"24 HR PROTEIN (URINE, CHEMISTRY)"
51069,"ALBUMIN, URINE (URINE, CHEMISTRY)"
51070,"ALBUMIN/CREATININE, URINE (URINE, CHEMISTRY)"
51071,"AMPHETAMINE SCREEN, URINE (URINE, CHEMISTRY)"
51072,"AMYLASE, URINE (URINE, CHEMISTRY)"
51073,"AMYLASE/CREATININE RATIO, URINE (URINE, CHEMISTRY)"
51074,"BARBITURATE SCREEN, URINE (URINE, CHEMISTRY)"
51075,"BENZODIAZEPINE SCREEN, URINE (URINE, CHEMISTRY)"
51076,"BICARBONATE, URINE (URINE, CHEMISTRY)"
51077,"CALCIUM, URINE (URINE, CHEMISTRY)"
51078,"CHLORIDE, URINE (URINE, CHEMISTRY)"
51079,"COCAINE, URINE (URINE, CHEMISTRY)"
51080,"CREATININE CLEARANCE (URINE, CHEMISTRY)"
51081,"CREATININE, SERUM (URINE, CHEMISTRY)"
51082,"CREATININE, URINE (URINE, CHEMISTRY)"
51083,"ETHANOL, URINE (URINE, CHEMISTRY)"
51084,"GLUCOSE, URINE (URINE, CHEMISTRY)"
51085,"HCG, URINE, QUALITATIVE (URINE, CHEMISTRY)"
51086,"IMMUNOFIXATION, URINE (URINE, CHEMISTRY)"
51087,"LENGTH OF URINE COLLECTION (URINE, CHEMISTRY)"
51088,"MAGNESIUM, URINE (URINE, CHEMISTRY)"
51089,"MARIJUANA (URINE, CHEMISTRY)"
51090,"METHADONE, URINE (URINE, CHEMISTRY)"
51091,"MYOGLOBIN, URINE (URINE, CHEMISTRY)"
51092,"OPIATE SCREEN, URINE (URINE, CHEMISTRY)"
51093,"OSMOLALITY, URINE (URINE, CHEMISTRY)"
51094,"PH (URINE, CHEMISTRY)"
51095,"PHOSPHATE, URINE (URINE, CHEMISTRY)"
51096,"PORPHOBILINOGEN SCREEN (URINE, CHEMISTRY)"
51097,"POTASSIUM, URINE (URINE, CHEMISTRY)"
